2000 5 4
0.000000 0.000044 0.017067 0.006998
-0.000000 0.000008 0.001432 0.000189
-0.000000 0.126126 0.007589 0.000001
-0.000000 0.013759 0.000780 0.000000
0.000000 0.217897 0.054224 0.000001
-0.000000 0.203003 0.376467 0.000001
-0.000000 0.000081 0.000072 0.000000
0.000000 0.000000 0.000000 0.000000
0.000000 0.026531 0.118934 0.000004
0.000000 0.027830 0.547356 0.000115
-0.000000 0.000225 0.032945 0.000001
0.000000 0.003456 0.242600 0.000002
0.000000 0.000009 0.000302 0.022608
0.000000 0.000139 0.004459 0.012285
-0.000000 0.000328 0.045995 0.837913
-0.000000 0.000020 0.020422 0.055521
-0.000000 0.000000 0.000000 0.000000
0.000000 0.005832 0.002517 0.000073
-0.000000 0.110915 0.045130 0.000048
-0.000000 0.025710 0.045897 0.000323
-0.000000 0.052979 0.704800 0.000741
0.000000 0.000683 0.004351 0.000001
0.000000 0.021884 0.002590 0.000058
0.000000 0.368041 0.041056 0.000034
-0.000000 0.015146 0.007413 0.000040
-0.000000 0.061639 0.224815 0.000182
-0.000000 0.093586 0.163473 0.000043
-0.000000 0.000000 0.000007 0.978674
-0.000000 -0.000000 0.000000 0.000266
0.000000 -0.000000 0.000000 0.013002
0.000000 0.000000 0.000001 0.007838
0.000000 0.000000 0.000000 0.000212
-0.000000 0.902080 0.054877 0.000000
-0.000000 0.007068 0.000405 0.000000
-0.000000 0.011896 0.002993 0.000000
0.000000 0.006448 0.012090 0.000000
-0.000000 0.001130 0.001014 0.000000
-0.000000 0.001063 0.002209 0.015941
0.000000 0.020221 0.039603 0.010529
0.000000 0.004687 0.040276 0.070802
-0.000000 0.009659 0.618487 0.162258
0.000000 0.000124 0.003818 0.000323
-0.000000 0.002434 0.000104 0.000000
0.000000 0.930938 0.037516 0.000000
0.000000 0.020206 0.003573 0.000000
-0.000000 0.002086 0.002748 0.000000
0.000000 0.000242 0.000153 0.000000
-0.000000 0.001135 0.003184 0.001641
-0.000000 0.000614 0.001624 0.000031
0.000000 0.004309 0.049985 0.006273
-0.000000 0.010124 0.875186 0.016392
-0.000000 0.000692 0.028639 0.000173
